50 615
15 24 52
15 27 34
15 28 3
15 29 76
15 30 18
15 34 50
15 36 22
15 37 57
15 39 73
15 41 7
15 42 49
15 43 12
15 48 83
15 50 76
16 19 52
16 20 43
16 22 30
16 24 65
16 26 59
16 28 6
16 29 62
16 30 80
16 31 14
16 33 35
16 35 65
16 36 63
16 38 71
16 40 83
16 41 51
16 43 61
16 45 34
16 50 24
17 18 30
17 24 70
17 26 47
17 27 21
17 28 39
17 29 78
17 30 19
17 31 59
17 33 9
17 34 9
17 37 62
17 39 51
17 41 73
17 43 53
17 44 72
17 45 12
17 48 34
17 49 62
17 50 30
18 19 15
18 20 38
18 21 19
18 23 47
18 28 13
18 30 18
18 31 85
18 39 8
18 41 86
18 42 18
18 43 76
18 44 72
18 45 26
18 47 1
19 20 5
19 22 52
19 23 72
19 24 90
19 27 97
19 28 78
19 29 63
19 30 92
19 31 89
19 32 14
19 33 61
19 35 72
19 36 45
19 39 100
19 41 44
19 42 13
19 44 88
19 46 1
19 47 31
19 49 30
20 22 64
20 23 40
20 24 36
20 25 29
20 27 2
20 29 64
20 30 46
20 31 66
20 34 44
20 35 12
20 36 10
20 37 40
20 40 74
20 41 55
20 43 29
20 45 95
20 46 48
20 47 49
20 50 98
21 22 19
21 23 30
21 25 37
21 27 26
21 28 96
21 34 100
21 36 62
21 38 85
21 42 46
21 44 37
21 47 50
21 49 79
21 50 17
22 25 100
22 27 16
22 28 52
22 29 46
22 32 65
22 38 61
22 42 30
22 46 84
22 49 91
22 50 48
23 24 81
23 25 46
23 28 56
23 30 36
23 31 46
23 33 52
23 38 99
23 39 99
23 40 92
23 43 37
23 44 14
23 47 62
23 49 38
23 50 16
24 27 58
24 28 20
24 30 45
24 31 32
24 32 96
24 34 24
24 35 44
24 37 64
24 39 30
24 40 15
24 41 88
24 42 50
24 43 50
24 46 60
24 47 66
24 48 60
25 27 73
25 28 80
25 30 29
25 31 87
25 32 52
25 33 65
25 37 40
25 38 63
25 41 30
25 42 41
25 44 67
25 47 88
25 48 1
26 28 12
26 29 61
26 31 41
26 34 51
26 36 30
26 37 56
26 38 7
26 39 74
26 40 99
26 41 6
26 43 53
26 44 12
26 45 34
26 46 26
26 47 93
27 30 42
27 32 23
27 34 15
27 35 24
27 36 90
27 38 47
27 42 4
27 44 30
27 46 6
27 49 2
28 29 49
28 35 69
28 38 1
28 40 17
28 44 15
28 46 78
28 50 78
29 30 26
29 31 11
29 32 95
29 35 60
29 40 26
29 42 1
29 44 67
29 45 80
29 47 54
29 48 9
30 33 69
30 34 23
30 35 30
30 42 30
30 47 54
31 32 49
31 35 61
31 38 1
31 39 56
31 45 27
31 47 49
31 49 98
32 34 6
32 35 79
32 37 35
32 42 4
32 47 75
33 34 45
33 35 91
33 36 48
33 37 44
33 39 87
33 42 59
33 44 83
33 45 18
33 47 77
33 49 67
33 50 12
34 35 33
34 37 14
34 39 92
34 40 14
34 41 35
34 42 4
34 44 89
34 48 19
35 37 80
35 40 99
35 41 85
35 42 18
35 43 49
35 44 27
35 45 74
35 48 85
35 50 41
36 41 26
36 43 54
36 46 66
36 47 65
36 49 16
36 50 72
37 40 14
37 43 89
37 46 61
37 49 16
38 39 66
38 40 58
38 41 61
38 42 23
38 43 59
38 45 71
38 49 44
39 40 17
39 41 54
39 42 33
39 43 49
39 48 11
39 49 73
39 50 65
40 42 43
40 44 30
40 45 59
40 46 32
40 47 45
40 48 62
40 49 100
41 43 53
41 45 4
41 46 58
41 47 93
42 45 1
42 46 71
42 48 52
42 49 98
42 50 100
43 44 58
43 45 29
43 46 55
43 49 31
43 50 33
44 47 62
44 48 61
44 49 19
45 48 30
45 50 57
46 48 37
46 50 47
47 48 84
48 49 63
48 50 77
49 50 20
