150 5548
5 55 14
5 57 37
5 58 44
5 59 72
5 60 45
5 62 69
5 64 11
5 65 53
5 67 13
5 69 80
5 70 22
5 72 71
5 74 64
5 79 35
5 80 27
5 86 84
5 88 48
5 89 79
5 90 95
5 91 16
5 92 73
5 93 56
5 95 5
5 96 15
5 99 58
5 101 90
5 103 91
5 105 77
5 106 64
5 107 81
5 110 98
5 111 22
5 112 54
5 113 12
5 114 35
5 115 77
5 117 38
5 122 3
5 124 22
5 125 43
5 133 91
5 135 70
5 136 99
5 137 43
5 138 35
5 139 74
5 141 63
5 145 26
5 147 78
5 148 58
5 149 73
6 8 26
6 9 64
6 10 10
6 11 10
6 12 36
6 13 32
6 14 97
6 16 92
6 17 62
6 20 45
6 22 32
6 23 12
6 25 79
6 27 42
6 28 62
6 30 18
6 33 43
6 34 69
6 35 85
6 36 73
6 38 25
6 40 64
6 41 18
6 42 44
6 45 28
6 46 82
6 47 15
6 48 28
6 51 49
6 52 59
6 54 19
6 56 61
6 57 34
6 58 90
6 61 2
6 62 4
6 63 27
6 65 19
6 67 32
6 68 99
6 74 79
6 76 42
6 78 85
6 82 30
6 84 25
6 87 82
6 89 57
6 90 38
6 93 61
6 95 65
6 96 98
6 97 54
6 100 31
6 106 40
6 110 31
6 114 49
6 117 11
6 118 21
6 119 100
6 120 9
6 123 50
6 125 44
6 126 11
6 128 2
6 133 90
6 134 4
6 135 18
6 138 97
6 139 49
6 142 37
6 144 54
6 145 26
6 148 66
6 149 58
7 8 14
7 9 12
7 10 83
7 12 69
7 13 21
7 15 15
7 17 46
7 18 32
7 19 73
7 20 81
7 21 40
7 24 46
7 25 25
7 26 87
7 30 5
7 31 50
7 33 22
7 34 97
7 35 37
7 36 59
7 40 89
7 41 21
7 44 54
7 45 81
7 47 34
7 50 11
7 51 77
7 55 74
7 56 38
7 58 17
7 61 17
7 63 22
7 64 50
7 65 6
7 66 54
7 67 40
7 68 75
7 70 97
7 71 13
7 72 52
7 73 41
7 74 70
7 80 68
7 82 4
7 84 37
7 85 24
7 86 5
7 88 100
7 92 66
7 94 2
7 96 72
7 99 100
7 101 45
7 107 38
7 110 73
7 112 64
7 116 62
7 118 3
7 122 11
7 123 65
7 124 38
7 125 70
7 128 80
7 133 75
7 135 7
7 137 36
7 138 63
7 140 57
7 141 22
7 146 92
7 147 32
7 148 2
8 13 64
8 18 7
8 22 44
8 25 85
8 28 57
8 29 20
8 35 16
8 37 14
8 39 23
8 42 81
8 43 54
8 45 18
8 50 7
8 55 53
8 59 53
8 60 32
8 61 83
8 62 22
8 64 47
8 67 24
8 69 11
8 70 82
8 72 8
8 74 17
8 75 77
8 76 19
8 78 77
8 80 38
8 81 30
8 82 70
8 83 99
8 85 24
8 89 99
8 93 33
8 96 25
8 97 1
8 98 1
8 99 55
8 100 14
8 101 73
8 104 69
8 106 44
8 111 27
8 113 27
8 116 8
8 117 71
8 119 3
8 120 37
8 123 82
8 126 91
8 129 16
8 132 42
8 134 74
8 135 46
8 136 12
8 137 26
8 138 42
8 140 74
8 144 65
8 146 32
8 147 33
8 148 36
8 149 41
9 13 91
9 14 60
9 15 2
9 17 73
9 19 70
9 20 38
9 21 48
9 22 45
9 23 72
9 24 32
9 27 7
9 29 98
9 30 54
9 31 89
9 37 93
9 38 85
9 40 73
9 41 7
9 42 17
9 43 38
9 44 97
9 45 80
9 48 62
9 49 95
9 52 2
9 53 40
9 54 70
9 58 10
9 60 15
9 62 31
9 64 64
9 65 7
9 68 7
9 69 79
9 70 49
9 71 25
9 73 41
9 74 54
9 77 63
9 81 49
9 84 84
9 85 16
9 86 58
9 87 19
9 88 72
9 89 72
9 91 69
9 93 14
9 95 4
9 97 70
9 98 35
9 101 81
9 104 4
9 106 63
9 110 95
9 111 13
9 112 46
9 114 13
9 115 88
9 116 17
9 119 8
9 120 27
9 123 5
9 124 23
9 125 9
9 126 72
9 127 61
9 129 75
9 134 87
9 135 91
9 137 52
9 138 59
9 139 24
9 140 42
9 143 65
9 145 74
9 147 27
9 148 82
9 150 73
10 14 73
10 15 27
10 16 57
10 19 57
10 22 99
10 27 68
10 29 27
10 31 2
10 33 1
10 34 87
10 36 72
10 38 81
10 39 100
10 41 4
10 42 31
10 43 49
10 44 3
10 50 90
10 51 94
10 52 17
10 55 5
10 59 91
10 60 24
10 63 38
10 66 93
10 68 47
10 73 30
10 76 8
10 83 62
10 84 44
10 91 100
10 94 60
10 97 73
10 99 80
10 102 31
10 103 66
10 104 93
10 106 43
10 107 41
10 112 35
10 115 47
10 121 19
10 123 76
10 124 13
10 125 3
10 126 57
10 131 7
10 133 43
10 135 94
10 136 16
10 137 86
10 139 27
10 141 17
10 142 24
10 144 78
10 147 74
10 148 97
10 149 13
10 150 71
11 14 15
11 15 46
11 16 37
11 17 18
11 19 73
11 22 36
11 24 91
11 28 33
11 33 81
11 34 5
11 35 45
11 36 49
11 38 60
11 39 41
11 40 20
11 43 23
11 44 95
11 46 65
11 47 65
11 48 19
11 50 55
11 53 92
11 55 26
11 56 32
11 57 12
11 59 70
11 61 75
11 63 74
11 65 18
11 66 61
11 67 65
11 71 88
11 72 35
11 73 12
11 74 24
11 75 78
11 76 4
11 78 20
11 79 40
11 80 64
11 81 31
11 89 24
11 90 88
11 92 96
11 93 74
11 95 77
11 99 48
11 100 67
11 101 7
11 102 31
11 103 70
11 105 56
11 106 70
11 107 64
11 108 4
11 109 89
11 110 92
11 113 74
11 115 2
11 116 86
11 119 89
11 120 83
11 121 81
11 123 14
11 125 29
11 126 7
11 129 3
11 136 47
11 139 28
11 143 7
11 146 89
11 148 61
11 149 7
12 13 72
12 15 89
12 16 96
12 17 32
12 18 33
12 19 94
12 21 18
12 23 43
12 24 39
12 25 29
12 27 57
12 29 1
12 30 2
12 32 73
12 33 75
12 34 33
12 35 58
12 36 43
12 37 49
12 43 54
12 44 42
12 48 33
12 49 5
12 53 14
12 55 3
12 56 98
12 57 44
12 65 62
12 69 81
12 74 57
12 75 24
12 76 82
12 80 32
12 81 13
12 82 9
12 83 17
12 85 33
12 89 55
12 93 90
12 95 2
12 97 15
12 98 65
12 99 64
12 102 36
12 103 71
12 107 76
12 108 79
12 112 84
12 113 40
12 117 29
12 118 95
12 119 16
12 121 86
12 123 97
12 124 22
12 126 86
12 128 84
12 129 17
12 130 80
12 132 90
12 135 93
12 137 1
12 140 21
12 141 14
12 143 78
12 145 12
12 146 83
12 148 83
12 150 74
13 14 72
13 15 38
13 18 67
13 20 60
13 21 52
13 23 2
13 24 18
13 29 30
13 30 73
13 31 27
13 32 62
13 33 55
13 34 80
13 35 73
13 37 55
13 40 33
13 42 31
13 43 75
13 44 95
13 46 68
13 47 4
13 50 83
13 52 98
13 57 52
13 60 49
13 66 19
13 69 81
13 70 44
13 72 15
13 75 32
13 78 10
13 81 27
13 83 47
13 86 97
13 88 56
13 89 18
13 93 83
13 94 23
13 95 15
13 97 11
13 98 62
13 101 7
13 102 43
13 103 10
13 105 63
13 108 12
13 111 52
13 114 72
13 118 14
13 121 90
13 123 29
13 124 13
13 126 46
13 127 72
13 128 67
13 129 37
13 131 82
13 133 54
13 134 86
13 135 39
13 139 34
13 142 89
13 143 17
13 144 6
13 145 53
13 146 42
13 148 15
14 15 42
14 16 73
14 17 43
14 18 52
14 19 26
14 21 11
14 22 23
14 23 46
14 25 21
14 28 71
14 32 78
14 33 87
14 35 85
14 42 5
14 43 41
14 45 9
14 47 54
14 48 94
14 49 89
14 50 92
14 52 67
14 56 70
14 57 86
14 58 2
14 59 51
14 60 83
14 63 82
14 64 17
14 65 71
14 66 98
14 69 13
14 70 97
14 71 63
14 74 28
14 77 85
14 78 47
14 80 37
14 84 2
14 85 96
14 88 61
14 89 49
14 90 5
14 91 4
14 92 49
14 93 78
14 96 7
14 98 31
14 105 36
14 106 68
14 115 33
14 116 100
14 117 60
14 118 37
14 120 15
14 123 27
14 124 83
14 125 53
14 126 16
14 127 59
14 129 96
14 132 92
14 133 89
14 135 44
14 137 22
14 139 58
14 143 36
14 145 9
14 146 41
14 147 97
14 148 61
15 18 68
15 20 98
15 21 32
15 23 72
15 24 11
15 25 36
15 33 92
15 35 25
15 39 12
15 40 62
15 45 4
15 46 6
15 49 39
15 52 25
15 54 93
15 56 91
15 57 15
15 58 49
15 61 38
15 62 63
15 68 16
15 72 72
15 74 37
15 76 98
15 81 23
15 82 41
15 83 8
15 85 13
15 86 3
15 87 64
15 90 28
15 92 78
15 93 43
15 96 53
15 97 31
15 99 3
15 101 85
15 104 96
15 108 32
15 111 31
15 113 63
15 114 96
15 118 62
15 119 97
15 120 98
15 121 43
15 123 67
15 125 97
15 126 76
15 127 24
15 132 81
15 133 42
15 135 31
15 136 62
15 138 8
15 139 86
15 140 88
15 141 80
15 142 43
15 144 92
15 145 73
15 146 89
15 147 77
15 148 7
15 149 82
15 150 100
16 17 4
16 21 99
16 22 97
16 23 43
16 24 3
16 29 95
16 32 64
16 36 86
16 37 69
16 39 70
16 40 90
16 42 55
16 44 65
16 45 67
16 46 38
16 47 97
16 51 91
16 52 3
16 53 10
16 55 71
16 56 11
16 57 78
16 60 55
16 62 3
16 69 68
16 70 35
16 74 4
16 75 2
16 76 29
16 78 6
16 84 43
16 85 4
16 92 83
16 93 81
16 94 34
16 95 64
16 101 79
16 102 86
16 104 53
16 105 34
16 110 80
16 112 4
16 117 100
16 118 63
16 119 96
16 120 36
16 122 56
16 123 68
16 125 64
16 128 64
16 130 52
16 133 53
16 134 65
16 138 70
16 140 28
16 141 40
16 146 61
16 149 46
16 150 46
17 22 77
17 26 23
17 29 85
17 31 73
17 35 45
17 37 29
17 38 8
17 44 16
17 45 74
17 48 4
17 49 45
17 50 20
17 51 47
17 52 69
17 54 94
17 55 71
17 59 94
17 61 38
17 63 50
17 64 92
17 66 81
17 73 59
17 74 58
17 75 63
17 77 4
17 78 81
17 79 65
17 80 91
17 81 16
17 82 81
17 83 54
17 84 4
17 86 94
17 90 75
17 91 69
17 92 48
17 95 40
17 97 43
17 98 54
17 101 8
17 105 7
17 106 91
17 110 39
17 111 20
17 112 36
17 113 99
17 115 63
17 118 44
17 119 27
17 122 77
17 123 30
17 127 74
17 128 74
17 129 6
17 130 2
17 132 71
17 135 65
17 136 72
17 137 46
17 139 70
17 143 19
17 144 84
17 146 84
17 147 95
17 148 71
18 19 58
18 20 54
18 22 92
18 26 71
18 27 72
18 29 68
18 32 86
18 34 28
18 35 20
18 36 52
18 37 80
18 40 85
18 41 100
18 46 55
18 47 91
18 48 1
18 51 30
18 52 54
18 54 3
18 55 99
18 56 65
18 60 97
18 62 29
18 64 99
18 66 32
18 69 93
18 71 43
18 72 94
18 73 63
18 74 16
18 78 71
18 79 77
18 80 66
18 82 21
18 83 69
18 85 34
18 90 81
18 91 62
18 92 63
18 93 42
18 95 38
18 96 56
18 97 88
18 101 85
18 102 45
18 106 17
18 115 89
18 116 73
18 119 97
18 121 82
18 125 98
18 126 60
18 127 42
18 128 43
18 133 15
18 135 64
18 136 94
18 138 17
18 139 19
18 140 38
18 141 77
18 144 90
18 146 39
18 147 52
18 150 22
19 27 95
19 28 26
19 30 27
19 33 54
19 34 43
19 35 93
19 36 100
19 38 20
19 40 79
19 42 5
19 46 2
19 47 71
19 48 77
19 49 96
19 50 4
19 51 90
19 52 1
19 54 50
19 55 70
19 57 56
19 58 99
19 59 31
19 62 58
19 63 68
19 64 12
19 67 100
19 69 4
19 71 54
19 74 22
19 76 57
19 78 48
19 82 98
19 83 66
19 88 65
19 90 37
19 91 59
19 94 87
19 98 33
19 99 55
19 100 80
19 102 2
19 103 93
19 104 12
19 106 41
19 109 61
19 110 20
19 111 53
19 113 98
19 114 63
19 117 96
19 120 16
19 123 16
19 124 88
19 125 89
19 127 27
19 131 16
19 132 3
19 133 66
19 135 15
19 136 20
19 137 14
19 138 86
19 141 5
19 142 31
19 147 15
19 149 15
20 24 12
20 25 18
20 26 12
20 29 25
20 30 70
20 31 40
20 35 80
20 36 73
20 39 86
20 44 64
20 45 74
20 46 23
20 48 79
20 49 76
20 51 35
20 57 24
20 58 26
20 59 3
20 60 90
20 61 43
20 64 90
20 69 73
20 72 86
20 73 26
20 74 60
20 76 46
20 80 9
20 86 61
20 88 59
20 96 47
20 97 5
20 98 68
20 101 25
20 102 10
20 103 28
20 104 95
20 105 62
20 106 95
20 107 100
20 108 21
20 110 15
20 112 91
20 113 58
20 114 66
20 116 4
20 118 88
20 122 2
20 123 15
20 124 27
20 125 12
20 127 51
20 128 4
20 130 19
20 131 48
20 133 88
20 135 38
20 136 32
20 138 5
20 139 16
20 140 42
20 143 30
20 147 27
20 149 34
20 150 75
21 23 51
21 24 80
21 25 89
21 26 45
21 27 90
21 30 69
21 31 29
21 32 29
21 36 16
21 37 77
21 39 76
21 42 79
21 43 72
21 45 20
21 49 38
21 50 80
21 53 77
21 55 58
21 57 46
21 62 48
21 66 95
21 68 83
21 69 58
21 71 30
21 72 47
21 73 88
21 74 95
21 75 91
21 76 44
21 80 49
21 81 99
21 82 78
21 83 2
21 84 93
21 88 20
21 91 92
21 93 49
21 95 83
21 96 89
21 97 60
21 98 47
21 100 61
21 107 37
21 108 12
21 109 70
21 111 14
21 112 81
21 115 46
21 120 96
21 122 23
21 127 69
21 131 94
21 132 78
21 135 83
21 138 96
21 139 8
21 141 97
21 143 46
21 145 54
21 150 45
22 24 18
22 26 92
22 28 32
22 30 91
22 31 3
22 32 76
22 42 69
22 44 62
22 46 100
22 47 82
22 48 17
22 49 92
22 54 79
22 55 56
22 58 31
22 61 67
22 62 73
22 63 35
22 64 20
22 66 7
22 68 86
22 69 79
22 70 70
22 71 61
22 72 61
22 73 7
22 75 73
22 79 82
22 84 52
22 85 19
22 88 69
22 89 55
22 92 16
22 93 7
22 94 2
22 97 10
22 98 88
22 100 26
22 101 95
22 102 17
22 103 74
22 104 65
22 106 89
22 107 43
22 109 36
22 110 58
22 112 94
22 115 85
22 120 19
22 122 86
22 125 99
22 128 38
22 130 43
22 131 89
22 132 89
22 134 44
22 138 28
22 139 36
22 140 45
22 141 12
22 142 5
22 143 51
22 146 65
22 149 70
23 25 61
23 26 59
23 27 74
23 28 26
23 29 77
23 30 10
23 33 62
23 37 16
23 38 85
23 39 34
23 40 60
23 41 77
23 43 32
23 44 79
23 48 100
23 49 55
23 51 72
23 52 47
23 53 52
23 54 74
23 55 85
23 56 71
23 58 36
23 59 6
23 61 16
23 64 43
23 67 17
23 69 67
23 70 87
23 74 23
23 75 8
23 76 10
23 77 31
23 80 30
23 81 70
23 85 89
23 86 70
23 88 96
23 90 70
23 98 61
23 100 63
23 101 66
23 103 13
23 106 46
23 110 13
23 114 43
23 115 26
23 116 58
23 117 12
23 119 12
23 121 16
23 122 82
23 124 62
23 125 86
23 126 19
23 132 61
23 135 38
23 136 97
23 139 12
23 140 58
23 143 17
23 144 78
23 145 66
24 26 34
24 28 66
24 29 17
24 30 89
24 33 76
24 36 25
24 38 95
24 39 10
24 41 6
24 49 81
24 50 5
24 54 40
24 55 36
24 56 94
24 57 62
24 62 31
24 64 59
24 68 67
24 69 80
24 70 26
24 72 47
24 73 95
24 74 49
24 75 28
24 77 55
24 79 66
24 80 77
24 81 18
24 83 10
24 85 75
24 87 30
24 88 82
24 89 55
24 93 39
24 95 27
24 97 38
24 99 19
24 101 21
24 103 36
24 106 46
24 108 14
24 109 19
24 111 48
24 112 88
24 114 89
24 116 71
24 118 54
24 121 15
24 122 99
24 123 27
24 124 47
24 126 49
24 127 24
24 129 24
24 130 52
24 131 33
24 133 80
24 136 94
24 138 20
24 140 6
24 141 47
24 145 94
24 146 87
24 147 4
25 27 34
25 28 61
25 29 42
25 30 77
25 32 99
25 33 22
25 37 92
25 43 79
25 49 28
25 50 86
25 51 9
25 52 90
25 55 8
25 57 25
25 59 4
25 60 64
25 63 77
25 64 46
25 68 51
25 69 62
25 75 9
25 76 12
25 78 14
25 80 90
25 83 93
25 84 31
25 85 13
25 89 31
25 91 53
25 92 28
25 94 25
25 97 95
25 99 60
25 103 25
25 106 2
25 109 30
25 112 83
25 113 24
25 115 2
25 118 49
25 119 21
25 120 7
25 121 72
25 125 46
25 130 56
25 131 9
25 134 47
25 141 55
25 145 86
25 146 2
25 148 53
25 149 53
25 150 45
26 27 42
26 28 43
26 33 93
26 34 55
26 43 48
26 44 46
26 45 56
26 48 89
26 49 44
26 51 16
26 56 87
26 57 65
26 58 72
26 59 70
26 61 16
26 65 79
26 66 93
26 67 70
26 68 54
26 72 82
26 74 11
26 76 31
26 77 16
26 85 40
26 89 10
26 90 33
26 91 36
26 92 25
26 93 59
26 94 75
26 96 18
26 97 36
26 98 2
26 100 73
26 101 62
26 102 40
26 107 82
26 110 71
26 111 93
26 113 99
26 119 13
26 120 14
26 121 85
26 124 39
26 125 12
26 126 25
26 127 34
26 133 32
26 135 94
26 136 42
26 137 76
26 138 82
26 145 38
26 148 85
26 149 100
26 150 27
27 30 73
27 31 89
27 32 14
27 33 68
27 35 83
27 36 70
27 38 58
27 39 61
27 42 47
27 44 17
27 45 54
27 46 14
27 48 50
27 49 53
27 50 86
27 53 14
27 55 8
27 57 100
27 60 31
27 61 57
27 62 42
27 67 70
27 69 37
27 70 52
27 71 95
27 73 89
27 75 62
27 78 4
27 80 3
27 81 94
27 83 73
27 84 5
27 85 31
27 87 48
27 89 43
27 90 32
27 91 87
27 92 20
27 93 60
27 100 61
27 103 96
27 105 1
27 109 99
27 110 72
27 112 36
27 113 7
27 117 4
27 119 39
27 120 71
27 123 18
27 127 11
27 132 56
27 134 83
27 135 72
27 137 54
27 139 43
27 141 52
27 146 26
27 147 32
27 149 34
28 30 11
28 31 83
28 32 36
28 33 56
28 34 97
28 35 21
28 36 82
28 37 17
28 39 23
28 40 76
28 43 97
28 45 22
28 47 33
28 48 87
28 49 35
28 51 93
28 53 42
28 54 98
28 56 52
28 60 40
28 63 24
28 64 14
28 66 44
28 67 60
28 69 25
28 71 17
28 74 60
28 78 61
28 79 69
28 85 32
28 89 83
28 90 37
28 91 9
28 92 85
28 93 8
28 94 41
28 99 90
28 100 41
28 101 80
28 107 30
28 113 4
28 116 24
28 124 90
28 125 61
28 127 93
28 135 83
28 141 42
28 142 87
28 143 70
28 146 58
28 147 32
29 30 45
29 32 12
29 33 38
29 34 14
29 35 80
29 40 38
29 41 14
29 42 20
29 43 68
29 44 78
29 45 94
29 49 75
29 50 2
29 52 63
29 53 21
29 54 63
29 56 58
29 57 32
29 58 22
29 60 82
29 61 77
29 63 93
29 64 94
29 65 31
29 67 80
29 71 23
29 76 52
29 78 3
29 79 73
29 80 97
29 81 83
29 82 18
29 83 85
29 85 90
29 86 97
29 87 32
29 90 59
29 92 50
29 93 48
29 95 100
29 99 78
29 100 88
29 101 64
29 102 9
29 105 66
29 106 74
29 107 65
29 108 43
29 109 14
29 110 27
29 112 60
29 115 15
29 116 3
29 118 96
29 121 59
29 124 1
29 128 19
29 129 64
29 130 27
29 131 10
29 136 17
29 137 55
29 141 97
29 143 80
29 145 76
29 149 66
29 150 3
30 32 23
30 33 53
30 34 46
30 37 48
30 39 78
30 41 88
30 44 78
30 45 44
30 46 95
30 50 8
30 56 98
30 59 93
30 60 32
30 61 96
30 62 35
30 63 20
30 64 40
30 65 21
30 66 38
30 68 38
30 69 57
30 70 66
30 72 4
30 75 4
30 76 44
30 77 53
30 78 86
30 82 76
30 83 8
30 84 80
30 85 25
30 91 44
30 93 29
30 96 42
30 99 94
30 100 66
30 101 71
30 102 35
30 103 10
30 104 74
30 106 12
30 108 19
30 110 42
30 111 67
30 112 22
30 115 45
30 118 74
30 120 18
30 122 3
30 123 35
30 127 79
30 128 43
30 131 42
30 132 18
30 138 11
30 142 41
30 145 14
30 147 40
30 149 6
31 32 86
31 34 12
31 35 68
31 36 84
31 38 63
31 43 4
31 45 47
31 48 73
31 49 75
31 51 13
31 52 99
31 53 36
31 54 52
31 55 47
31 56 76
31 59 73
31 60 90
31 62 21
31 63 14
31 64 82
31 65 20
31 67 90
31 68 38
31 69 35
31 72 99
31 73 3
31 76 83
31 77 100
31 78 47
31 79 92
31 80 43
31 83 63
31 84 72
31 92 88
31 93 44
31 94 66
31 95 23
31 96 29
31 102 59
31 105 25
31 107 48
31 109 100
31 110 78
31 114 4
31 115 10
31 117 15
31 118 9
31 119 49
31 122 72
31 123 30
31 126 81
31 128 64
31 130 12
31 132 52
31 135 63
31 137 30
31 142 1
31 143 94
31 144 78
31 146 51
31 147 23
31 148 68
31 149 74
31 150 48
32 33 97
32 34 43
32 36 83
32 39 25
32 40 91
32 41 39
32 42 5
32 43 100
32 44 84
32 46 78
32 47 83
32 49 11
32 50 41
32 52 62
32 53 6
32 54 22
32 55 33
32 56 9
32 58 50
32 59 99
32 64 61
32 65 20
32 66 75
32 67 35
32 69 50
32 72 19
32 74 69
32 75 7
32 78 24
32 79 36
32 81 89
32 83 17
32 85 98
32 88 96
32 89 52
32 90 2
32 92 31
32 95 97
32 96 57
32 98 75
32 99 11
32 100 8
32 106 74
32 111 27
32 113 76
32 114 22
32 115 80
32 116 69
32 117 70
32 118 48
32 119 22
32 121 93
32 122 25
32 124 4
32 125 61
32 126 72
32 127 80
32 129 60
32 130 69
32 133 48
32 135 76
32 136 45
32 141 86
32 145 61
32 146 9
33 34 56
33 38 64
33 40 58
33 43 78
33 45 60
33 46 52
33 47 80
33 52 18
33 53 51
33 54 88
33 56 56
33 57 5
33 60 50
33 62 35
33 65 5
33 71 98
33 72 38
33 73 27
33 76 8
33 77 77
33 78 40
33 80 39
33 84 48
33 85 80
33 86 44
33 89 25
33 91 32
33 92 19
33 93 35
33 95 73
33 97 75
33 99 54
33 100 9
33 102 9
33 103 52
33 105 24
33 109 91
33 111 57
33 112 34
33 113 91
33 115 92
33 117 5
33 119 71
33 120 41
33 121 2
33 122 60
33 123 8
33 133 2
33 134 45
33 136 48
33 144 7
33 145 33
33 146 17
33 147 97
33 148 34
33 149 99
34 35 13
34 36 35
34 41 34
34 44 42
34 45 86
34 50 49
34 53 57
34 54 19
34 55 43
34 56 30
34 60 19
34 61 84
34 62 76
34 63 67
34 64 39
34 65 85
34 66 100
34 71 7
34 77 99
34 78 26
34 79 35
34 80 53
34 82 34
34 83 94
34 86 5
34 87 43
34 88 29
34 92 59
34 94 12
34 99 81
34 102 58
34 107 16
34 110 71
34 111 43
34 112 74
34 113 27
34 114 19
34 115 9
34 116 44
34 117 6
34 119 36
34 120 76
34 121 98
34 122 5
34 124 89
34 125 9
34 126 1
34 127 81
34 128 26
34 129 26
34 130 14
34 131 17
34 133 93
34 141 11
34 142 79
34 143 8
34 144 74
34 145 73
34 146 61
34 147 2
34 149 69
35 40 14
35 41 54
35 44 60
35 46 57
35 48 11
35 49 52
35 52 30
35 55 57
35 57 88
35 58 6
35 59 81
35 62 65
35 63 60
35 64 42
35 67 39
35 68 57
35 70 65
35 72 7
35 75 75
35 76 47
35 77 80
35 79 61
35 80 62
35 81 30
35 82 79
35 87 81
35 88 28
35 91 93
35 92 11
35 93 39
35 94 35
35 97 6
35 98 44
35 99 12
35 102 43
35 104 63
35 105 67
35 107 21
35 108 21
35 115 82
35 117 30
35 118 100
35 121 69
35 122 6
35 124 51
35 125 88
35 128 24
35 129 34
35 131 46
35 133 65
35 135 25
35 136 29
35 137 91
35 141 68
35 145 69
35 146 11
35 147 26
35 149 74
36 37 27
36 38 96
36 39 79
36 42 19
36 43 17
36 44 20
36 47 17
36 56 65
36 58 27
36 59 50
36 60 68
36 61 55
36 62 68
36 66 39
36 68 32
36 70 8
36 71 63
36 73 18
36 74 45
36 78 88
36 80 13
36 81 54
36 82 14
36 84 70
36 88 78
36 89 10
36 90 74
36 92 81
36 93 78
36 98 42
36 99 91
36 100 32
36 101 67
36 104 98
36 105 30
36 108 87
36 110 13
36 111 5
36 112 5
36 113 88
36 115 92
36 116 40
36 119 53
36 123 45
36 124 13
36 125 3
36 132 3
36 134 16
